,workinhealthcare,jobcategory,worklocation,privatepractice,interoperability understanding,difficulty frequency,Interoperability Rating,challenges,Health Standards,EHR,Cloud Platform,Interoperability Effectivenesss,Need for improvement
0,yes,1,Huntington Hospital ,0,0,3.0,4.0,Lack of standardized vocabulary and coding systems,0.0,,,0,4
1,yes,1,Northwell Hospital ,0,3,2.0,4.0,Limited system integration capabilities,2.0,,,3,5
2,yes,1,Maimonides Medical ,0,4,3.0,2.0,Limited system integration capabilities,0.0,,,2,4
3,yes,0,Dental Office,1,3,3.0,4.0,Data loss or corruption,0.0,,,0,3
4,yes,1,NYP COLUMBIA,0,4,3.0,4.0,Data loss or corruption,2.0,,,2,5
5,yes,1,SUNY Downstate Health Sciences University ,0,2,5.0,4.0,Lack of standardized vocabulary and coding systems,0.0,3,0,4,5
6,yes,1,Docgo an urgent care clinic,0,1,2.0,3.0,Security and privacy concerns,0.0,0,"Not sure, I think outlook ",0,0
7,yes,1,Anthem home care,1,5,3.0,2.0,Data loss or corruption,0.0,0,0,1,5
8,yes,1,SUNY Downstate,0,4,3.0,3.0,Limited system integration capabilities,0.0,Health Bridge ,0,0,4
9,yes,1,Interfaith Medical Center ,0,5,4.0,3.0,Limited system integration capabilities,0.0,1,1,1,5
10,yes,1,Hospital,0,2,1.0,3.0,No challenges ,0.0,1,0,4,3
11,yes,1,VNS Health ,0,5,4.0,4.0,Security and privacy concerns,0.0,Point Care Manager ,1,3,5
12,yes,0,Mount Sinai ,0,5,5.0,4.0,Incompatible data formats,1.0,1,1,3,5
13,yes,1,Northwell,0,4,3.0,2.0,Limited system integration capabilities,1.0,2,1,2,4
14,yes,1,Childrenâ€™s healthcare of atlanta ,0,2,3.0,4.0,Security and privacy concerns,0.0,0,Epic ,4,5
15,yes,1,Hospital,0,5,3.0,5.0,Lack of standardized vocabulary and coding systems,0.0,1,,3,4
16,yes,1,Dental Center of Aspen Hill ,1,1,5.0,2.0,Security and privacy concerns,0.0,0,,0,0
17,yes,1,South side university hospital ,0,2,2.0,4.0,Limited system integration capabilities,0.0,Idk,2,2,5
18,yes,1,North Shore University Hospital,1,0,2.0,4.0,,0.0,0,,0,0
19,yes,0,Maimonides Medical ,0,4,3.0,3.0,Limited system integration capabilities,0.0,2,1,3,5
20,yes,0,Maimonides Medical ,0,4,3.0,3.0,Limited system integration capabilities,0.0,2,1,3,5
21,yes,0,SUNY Downstate,0,4,3.0,3.0,Limited system integration capabilities,1.0,3,1,4,5
22,yes,0,Hospital,0,5,3.0,3.0,,,1,,,5
23,yes,0,Northwell,0,4,3.0,3.0,Incompatible data formats,0.0,2,1,4,5
24,yes,0,Orthopedic ,1,5,3.0,2.0,Security and privacy concerns,3.0,0,0,2,5
25,yes,0,Dental,1,1,5.0,2.0,Security and privacy concerns,0.0,0,,0,5
26,yes,0,Hospital,0,4,,,,,,,,5
27,yes,1,Maimonides Medical ,0,4,3.0,2.0,Limited system integration capabilities,0.0,Somewhat effective,Moderately,Cant recall,Out of date platform
28,yes,1,Huntington Hospital ,0,2,2.0,3.0,,,,,,
29,yes,1,Huntington Hospital ,0,2,2.0,4.0,No challenges,0.0,0,0,0,0
30,yes,1, Downstate,0,4,3.0,4.0,Limited system integration capabilities,0.0,0,0,0,0
31,yes,1,NYU Winthdrop,0,4,3.0,4.0,,0.0,1,0,0,0
32,yes,1,Coney Island Hospital,0,5,2.0,3.0,Security and privacy concerns,0.0,4,0,2,4
